index,date,K,M,N,delta,n_ite,avg_ite_time,treshold,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2022-05-21 08:28:17,2,1500,2,4.0,10,0.01,0.0001,99.37,9294.675,0.55,0.382,0.382
1,2022-05-21 08:28:18,2,1500,2,4.1,10,0.01,0.0001,99.22,9317.796,0.548,0.384,0.384
2,2022-05-21 08:28:19,2,1500,2,4.2,10,0.01,0.0001,99.22,9296.754,0.549,0.382,0.382
3,2022-05-21 08:28:20,2,1500,2,4.3,10,0.01,0.0001,99.14,9363.515,0.548,0.392,0.392
4,2022-05-21 08:28:21,2,1500,2,4.4,8,0.01,0.0001,99.12,9343.212,0.548,0.389,0.389
5,2022-05-21 08:28:22,2,1500,2,4.5,10,0.01,0.0001,99.08,9314.402,0.547,0.38,0.38
6,2022-05-21 08:28:23,2,1500,2,4.6,10,0.01,0.0001,99.03,9306.213,0.547,0.379,0.379
7,2022-05-21 08:28:25,2,1500,2,4.7,10,0.01,0.0001,98.98,9349.739,0.546,0.387,0.387
8,2022-05-21 08:28:26,2,1500,2,4.8,10,0.01,0.0001,98.95,9364.827,0.546,0.39,0.39
9,2022-05-21 08:28:27,2,1500,2,4.9,10,0.01,0.0001,98.77,9433.893,0.544,0.4,0.4
